experiment,planning_steps,planning_percentage,planning_mode,iqm,iqm_low,iqm_high
baseline,0,,baseline,-0.08742547329788923,-0.09542371419345733,-0.08022922160156182
planning,5,0.05,reward,-0.08026829799935392,-0.08722110201827596,-0.07267489438712887
planning,5,0.05,value,-0.08090753043132788,-0.08872538914803092,-0.07298952840785089
planning,5,0.1,reward,-0.07699866028929905,-0.08371835753387986,-0.06962909282221913
planning,5,0.1,value,-0.07789154276643226,-0.08426032403326245,-0.06963125204863543
planning,5,0.2,reward,-0.07132503085407868,-0.0778667232285086,-0.0631919092742933
planning,5,0.2,value,-0.07927481014986422,-0.0868880551584955,-0.07111387097272032
planning,5,0.5,reward,-0.06409805749200569,-0.07393818543288871,-0.05504643529573408
planning,5,0.5,value,-0.06970901932991366,-0.07731937590198332,-0.06137810028351605
planning,10,0.05,reward,-0.07730477086785917,-0.08375720019221265,-0.069479538461222
planning,10,0.05,value,-0.08113291333325658,-0.08922492716576155,-0.07327578517757716
planning,10,0.1,reward,-0.06895597208114913,-0.0758644385406747,-0.06181604248415866
planning,10,0.1,value,-0.0806413935076949,-0.08710016169895454,-0.07263459820365586
planning,10,0.2,reward,-0.07276510104807768,-0.08070903126229907,-0.06519518483570871
planning,10,0.2,value,-0.0774210754186764,-0.08377386238956,-0.07042179712028354
planning,10,0.5,reward,-0.0775650651933861,-0.0870040182881425,-0.06954983098405482
planning,10,0.5,value,-0.07850271170065287,-0.08739721514673089,-0.06890759541796723
random,5,0.05,random,-0.08221195687335345,-0.08901407396725057,-0.0744191358711921
random,5,0.1,random,-0.06656505506904617,-0.07384929720744629,-0.05866495888361971
random,5,0.2,random,-0.07352417227641742,-0.08083314513514289,-0.06565480035621693
random,5,0.5,random,-0.0651809023309842,-0.0725709888086723,-0.05686312839536135
