run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
gzg68jzc,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-53-18,BigFish,0,0.0,baseline,0,247.0,1.0,0.0040485829959514
hiybudhv,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-53-27,BigFish,0,0.0,baseline,1,47.0,0.0,0.0
pqs3lt1l,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-53-35,BigFish,0,0.0,baseline,2,57.0,0.0,0.0
ro7hvqvr,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-53-43,BigFish,0,0.0,baseline,3,85.0,0.0,0.0
zrwkr7g7,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-53-51,BigFish,0,0.0,baseline,4,219.0,0.0,0.0
1dnuo82i,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-53-59,BigFish,0,0.0,baseline,5,114.0,3.0,0.0263157894736842
w6q0hxq2,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-54-07,BigFish,0,0.0,baseline,6,361.0,1.0,0.002770083102493
bcj93fgm,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-54-15,BigFish,0,0.0,baseline,7,67.0,0.0,0.0
5zksaxav,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-54-23,BigFish,0,0.0,baseline,8,70.0,0.0,0.0
ytmaug1h,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-54-31,BigFish,0,0.0,baseline,9,142.0,2.0,0.0140845070422535
li07x0w8,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_0_time_2026-04-09_19-20-42,BigFish,5,0.05,random,0,249.0,1.0,0.0040160642570281
uy6vba4j,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_1_time_2026-04-09_19-20-57,BigFish,5,0.05,random,1,47.0,0.0,0.0
skjuu00j,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_2_time_2026-04-09_19-21-08,BigFish,5,0.05,random,2,57.0,0.0,0.0
tykemej5,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_3_time_2026-04-09_19-21-19,BigFish,5,0.05,random,3,85.0,0.0,0.0
nsqu9y27,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_4_time_2026-04-09_19-21-30,BigFish,5,0.05,random,4,119.0,1.0,0.0084033613445378
x1fg7hka,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_5_time_2026-04-09_19-21-42,BigFish,5,0.05,random,5,114.0,3.0,0.0263157894736842
tqk0sg9d,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_6_time_2026-04-09_19-21-54,BigFish,5,0.05,random,6,238.0,1.0,0.0042016806722689
1qw5irks,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_7_time_2026-04-09_19-22-08,BigFish,5,0.05,random,7,67.0,0.0,0.0
gq67md31,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_8_time_2026-04-09_19-22-20,BigFish,5,0.05,random,8,70.0,0.0,0.0
69i9qaje,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_9_time_2026-04-09_19-22-31,BigFish,5,0.05,random,9,142.0,2.0,0.0140845070422535
cunlo865,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_0_time_2026-03-31_16-15-48,BigFish,5,0.05,reward,0,243.0,1.0,0.0041152263374485
oc86xg78,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_1_time_2026-03-31_16-16-27,BigFish,5,0.05,reward,1,48.0,0.0,0.0
c0kiblr4,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_2_time_2026-03-31_16-16-41,BigFish,5,0.05,reward,2,57.0,0.0,0.0
f4lnnc6w,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_3_time_2026-04-02_19-34-33,BigFish,5,0.05,reward,3,86.0,0.0,0.0
itxm3zgf,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_4_time_2026-04-02_19-34-46,BigFish,5,0.05,reward,4,218.0,0.0,0.0
zjf5hfuq,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_5_time_2026-04-02_19-35-14,BigFish,5,0.05,reward,5,110.0,3.0,0.0272727272727272
6bm0j8il,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_6_time_2026-04-02_19-35-36,BigFish,5,0.05,reward,6,362.0,1.0,0.0027624309392265
lmb33qyb,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_7_time_2026-04-02_19-36-08,BigFish,5,0.05,reward,7,175.0,0.0,0.0
t5xqourk,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_8_time_2026-04-02_19-36-33,BigFish,5,0.05,reward,8,72.0,0.0,0.0
ebfehnpz,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_9_time_2026-04-02_19-36-48,BigFish,5,0.05,reward,9,136.0,1.0,0.0073529411764705
8t75t82f,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_0_time_2026-03-31_16-14-40,BigFish,5,0.05,value,0,339.0,2.0,0.0058997050147492
