env_type,planning_steps,planning_percentage,planning_mode,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
BigFish,0,0.0,baseline,10,"0,1,2,3,4,5,6,7,8,9",0.7,1.004987562112089,140.9,97.97698709390896,10,"0,1,2,3,4,5,6,7,8,9",0.0047218962614382,0.0083186264243475
BigFish,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.8,0.9797958971132712,118.8,68.48620299009136,10,"0,1,2,3,4,5,6,7,8,9",0.0057021402789772,0.0081862656389246
BigFish,5,0.05,reward,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.916515138991168,150.7,94.79773204038165,10,"0,1,2,3,4,5,6,7,8,9",0.0041503325725872,0.0080633795936247
BigFish,5,0.05,value,10,"0,1,2,3,4,5,6,7,8,9",0.8,0.9797958971132712,145.4,108.24527703322671,10,"0,1,2,3,4,5,6,7,8,9",0.0055678335125789,0.0079205509873058
BigFish,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.916515138991168,125.3,77.36026111641557,10,"0,1,2,3,4,5,6,7,8,9",0.0046512650573638,0.0081679091153442
BigFish,5,0.1,reward,10,"0,1,2,3,4,5,6,7,8,9",0.8,1.1661903789690602,141.3,100.7204547249465,10,"0,1,2,3,4,5,6,7,8,9",0.0064288313485889,0.0096666388142022
BigFish,5,0.1,value,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.6633249580710799,128.8,99.83065661408824,10,"0,1,2,3,4,5,6,7,8,9",0.0039157418661312,0.0044256419238357
BigFish,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.916515138991168,121.8,65.89810315934746,10,"0,1,2,3,4,5,6,7,8,9",0.0050237121487259,0.008343469756021
BigFish,5,0.2,reward,10,"0,1,2,3,4,5,6,7,8,9",0.4,0.66332495807108,132.4,95.9585327107496,10,"0,1,2,3,4,5,6,7,8,9",0.0035003178517077,0.0061591137660647
BigFish,5,0.2,value,10,"0,1,2,3,4,5,6,7,8,9",0.8,0.9797958971132712,114.1,65.95672823905079,10,"0,1,2,3,4,5,6,7,8,9",0.0055214491238627,0.0076671886374505
BigFish,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.2,0.4000000000000001,118.8,89.08512782726419,10,"0,1,2,3,4,5,6,7,8,9",0.0019569288389513,0.0039673092350073
