env_type,mode,n_runs,reward_mean,reward_std,ep_length_mean,ep_length_std
Alien,reward,3,1113.3333333333333,217.46008573733454,712.0,163.14615124687026
Alien,value,3,856.6666666666666,4.714045207910316,964.6666666666666,39.38132665222045
Amidar,reward,3,241.0,75.68795588907568,888.3333333333334,209.292989742981
Amidar,value,3,210.66666666666666,27.932458220182163,831.6666666666666,94.5174880937679
Assault,reward,2,839.0,104.0,1079.5,177.5
Assault,value,3,696.3333333333334,72.70641114937679,845.0,93.46657156438339
Asterix,reward,2,2500.0,800.0,779.0,183.0
Asterix,value,3,4000.0,2174.0898478827103,1061.6666666666667,351.7957109207306
BankHeist,reward,3,16.666666666666668,4.714045207910316,466.0,31.822423959633664
BankHeist,value,3,16.666666666666668,4.714045207910316,466.0,31.822423959633664
BattleZone,reward,3,1333.3333333333333,471.4045207910317,792.6666666666666,85.26950738035777
BattleZone,value,3,1333.3333333333333,1247.219128924647,1006.6666666666666,70.81117300413983
Breakout,reward,1,48.0,0.0,1179.0,0.0
Breakout,value,1,68.0,0.0,1198.0,0.0
ChopperCommand,reward,3,1000.0,496.655480858378,1156.6666666666667,756.4237495537068
ChopperCommand,value,3,1133.3333333333333,47.14045207910317,1313.0,948.1954791427064
CrazyClimber,reward,3,83566.66666666667,17371.688333479724,3465.0,462.98452097955357
CrazyClimber,value,2,70050.0,30650.0,3154.0,933.0
DemonAttack,reward,2,167.5,67.5,816.5,59.5
DemonAttack,value,1,190.0,0.0,669.0,0.0
Frostbite,reward,3,210.0,21.602468994692867,468.3333333333333,55.355417279813025
Frostbite,value,3,243.33333333333334,24.944382578492945,602.0,71.22265557157124
Gopher,reward,2,3360.0,960.0,1675.0,259.0
Gopher,value,2,2960.0,160.0,1709.5,220.5
Hero,reward,3,3131.6666666666665,23.570226039551585,486.3333333333333,15.965240019770729
Hero,value,3,3106.6666666666665,51.37011669140814,440.6666666666667,14.727148022916348
Jamesbond,reward,3,516.6666666666666,47.14045207910317,1754.6666666666667,93.42495502927589
Jamesbond,value,3,366.6666666666667,102.74023338281627,1452.3333333333333,135.59088792720877
Kangaroo,reward,3,1266.6666666666667,837.9870059984356,867.0,210.6608648990125
Kangaroo,value,3,4200.0,432.04937989385735,1655.6666666666667,189.86018247354784
Krull,reward,3,9383.333333333334,713.4112107021837,1336.0,91.82955225125878
Krull,value,3,10706.666666666666,70.39570693980959,1477.6666666666667,16.579773487261185
KungFuMaster,reward,3,32133.333333333332,8199.322465233874,2911.0,735.073238981441
KungFuMaster,value,3,35566.666666666664,10269.80471522652,3330.0,745.7805754152267
MsPacman,reward,3,1416.6666666666667,728.1178170842652,703.6666666666666,121.90797986824143
MsPacman,value,3,1683.3333333333333,1084.0151700455528,749.0,295.36756761702867
PrivateEye,reward,3,100.0,0.0,2692.0,0.0
PrivateEye,value,3,100.0,0.0,2692.0,0.0
Qbert,reward,1,4525.0,0.0,805.0,0.0
Qbert,value,2,4387.5,37.5,665.5,11.5
RoadRunner,reward,3,10533.333333333334,1302.134998974974,778.3333333333334,20.741798914805393
RoadRunner,value,3,17833.333333333332,3465.384378231207,1341.6666666666667,29.679772386069423
Seaquest,reward,3,1393.3333333333333,9.428090415820632,2198.6666666666665,43.49201714746691
Seaquest,value,3,1166.6666666666667,205.48046676563257,1918.0,320.71482659833487
UpNDown,reward,2,2520.0,140.0,708.5,21.5
UpNDown,value,2,4385.0,85.0,1059.5,137.5
