run_id,run_name,env_type,seed,episode_length,final_reward,reward_per_step
gzg68jzc,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-53-18,BigFish,0,247.0,1.0,0.004048582995951417
hiybudhv,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-53-27,BigFish,1,47.0,0.0,0.0
pqs3lt1l,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-53-35,BigFish,2,57.0,0.0,0.0
ro7hvqvr,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-53-43,BigFish,3,85.0,0.0,0.0
zrwkr7g7,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-53-51,BigFish,4,219.0,0.0,0.0
1dnuo82i,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-53-59,BigFish,5,114.0,3.0,0.02631578947368421
w6q0hxq2,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-54-07,BigFish,6,361.0,1.0,0.002770083102493075
bcj93fgm,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-54-15,BigFish,7,67.0,0.0,0.0
5zksaxav,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-54-23,BigFish,8,70.0,0.0,0.0
ytmaug1h,BigFish_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-54-31,BigFish,9,142.0,2.0,0.014084507042253521
wpyfi0dn,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_02-01-31,BossFight,0,31.0,0.0,0.0
3lydkuij,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_02-01-39,BossFight,1,27.0,0.0,0.0
wtmd94tg,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_02-01-46,BossFight,2,22.0,0.0,0.0
6miq1qbb,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_02-01-54,BossFight,3,33.0,0.0,0.0
wttty8j7,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_02-02-02,BossFight,4,29.0,0.0,0.0
e03yozo2,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_02-02-10,BossFight,5,44.0,0.0,0.0
q9kopcd2,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_02-02-18,BossFight,6,67.0,0.0,0.0
93nqn3zv,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_02-02-25,BossFight,7,34.0,0.0,0.0
e1m3zsny,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_02-02-33,BossFight,8,28.0,0.0,0.0
ivoh54aa,BossFight_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_02-02-40,BossFight,9,5.0,0.0,0.0
9blk2l21,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-41-21,CaveFlyer,0,1000.0,0.0,0.0
se4lppzs,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_1_time_2026-03-31_01-41-33,CaveFlyer,1,1000.0,0.0,0.0
hvqvvg8d,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_2_time_2026-03-31_01-41-44,CaveFlyer,2,1000.0,0.0,0.0
91t5nil5,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_3_time_2026-03-31_01-41-56,CaveFlyer,3,567.0,10.0,0.01763668430335097
hfg0kzhn,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_4_time_2026-03-31_01-42-05,CaveFlyer,4,204.0,0.0,0.0
aarsfj6j,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_5_time_2026-03-31_01-42-13,CaveFlyer,5,385.0,0.0,0.0
vtagqsyh,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_6_time_2026-03-31_01-42-22,CaveFlyer,6,11.0,0.0,0.0
m7svmo30,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_7_time_2026-03-31_01-42-30,CaveFlyer,7,1000.0,0.0,0.0
hhs2207i,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_8_time_2026-03-31_01-42-41,CaveFlyer,8,1000.0,0.0,0.0
v1zkj7sh,CaveFlyer_0_roll_0_inner_0_pct_1_max_value_seed_9_time_2026-03-31_01-42-53,CaveFlyer,9,1000.0,0.0,0.0
rvndipi8,Chaser_0_roll_0_inner_0_pct_1_max_value_seed_0_time_2026-03-31_01-45-50,Chaser,0,128.0,0.23999997973442078,0.0018749998416751623
