env_type,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
BigFish,10,"0,1,2,3,4,5,6,7,8,9",0.7,1.004987562112089,140.9,97.97698709390895,10,"0,1,2,3,4,5,6,7,8,9",0.0047218962614382215,0.00831862642434759
BossFight,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,32.0,15.013327412669051,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,716.7,370.79132945633984,10,"0,1,2,3,4,5,6,7,8,9",0.001763668430335097,0.00529100529100529
Chaser,10,"0,1,2,3,4,5,6,7,8,9",0.383999977260828,0.22428554155980915,96.6,25.393700006103874,10,"0,1,2,3,4,5,6,7,8,9",0.0038335940055887604,0.0018041840011572803
Climber,10,"0,1,2,3,4,5,6,7,8,9",2.6,4.476605857119878,751.3,385.23656368522444,10,"0,1,2,3,4,5,6,7,8,9",0.013714242942686056,0.030098293695969936
CoinRun,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,856.0,307.03875976820905,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
Dodgeball,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,184.1,316.1858472481018,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
FruitBot,10,"0,1,2,3,4,5,6,7,8,9",-1.1,5.889821729050889,82.5,29.58462438497403,10,"0,1,2,3,4,5,6,7,8,9",-0.012648895372804895,0.07591997678708452
Heist,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,906.9,279.3,10,"0,1,2,3,4,5,6,7,8,9",0.014492753623188406,0.04347826086956522
Jumper,10,"0,1,2,3,4,5,6,7,8,9",4.0,4.898979485566356,349.4,429.2011649564805,10,"0,1,2,3,4,5,6,7,8,9",0.1252136752136752,0.20813369790654174
Leaper,10,"0,1,2,3,4,5,6,7,8,9",3.0,4.58257569495584,153.1,111.35838540496175,10,"0,1,2,3,4,5,6,7,8,9",0.019589637710816142,0.033328329792457
Maze,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,437.4,125.82463987629768,10,"0,1,2,3,4,5,6,7,8,9",0.010940470966798304,0.022185428132447914
Miner,10,"0,1,2,3,4,5,6,7,8,9",0.3,0.6403124237432849,706.3,448.6377269022301,10,"0,1,2,3,4,5,6,7,8,9",0.00030000000000000003,0.0006403124237432849
Ninja,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,379.6,194.851841151168,10,"0,1,2,3,4,5,6,7,8,9",0.0053475935828877,0.0160427807486631
Plunder,10,"0,1,2,3,4,5,6,7,8,9",0.3,0.45825756949558394,649.6,32.10358235462204,10,"0,1,2,3,4,5,6,7,8,9",0.00045138888888888887,0.0006909634979907084
StarPilot,10,"0,1,2,3,4,5,6,7,8,9",0.5,0.806225774829855,60.6,16.936351437071682,10,"0,1,2,3,4,5,6,7,8,9",0.006982074438970989,0.011187536972934209
