experiment,planning_steps,planning_percentage,planning_mode,iqm,iqm_low,iqm_high
baseline,0,,baseline,-0.08742547329788923,-0.09536446796646167,-0.07963749938276724
planning,5,0.05,reward,-0.08026829799935392,-0.08731703300916982,-0.07224368790060647
planning,5,0.05,value,-0.08090753043132788,-0.0882652805972332,-0.07390999057257927
planning,5,0.1,reward,-0.07699866028929905,-0.08398647992245617,-0.06887761554121247
planning,5,0.1,value,-0.07789154276643226,-0.08566806594369306,-0.07027862037060884
planning,5,0.2,reward,-0.07132503085407868,-0.07919747434977309,-0.06394128962463916
planning,5,0.2,value,-0.07927481014986422,-0.08803845209249306,-0.07213273634568017
planning,5,0.5,reward,-0.06409805749200569,-0.07305077806530176,-0.055556370763641255
planning,5,0.5,value,-0.06970901932991366,-0.07759774642541015,-0.061404788539424326
planning,5,1.0,reward,-0.039442557981253,-0.04883317860190198,-0.02957758320315722
planning,5,1.0,value,-0.07997599719631578,-0.08715242169520666,-0.0716473212643555
planning,10,0.05,reward,-0.07730477086785917,-0.08441517233685764,-0.07033604834750928
planning,10,0.05,value,-0.08113291333325658,-0.0885797906530032,-0.07272098965565316
planning,10,0.1,reward,-0.06895597208114913,-0.07593899353118078,-0.06185750121090557
planning,10,0.1,value,-0.0806413935076949,-0.08808177736704843,-0.07293338816643499
planning,10,0.2,reward,-0.07276510104807768,-0.08052852956087624,-0.06445536996618442
planning,10,0.2,value,-0.07790083279583893,-0.08527405144015894,-0.07079788618479693
planning,10,0.5,reward,-0.0775650651933861,-0.08721827761701915,-0.06947064059438178
planning,10,0.5,value,-0.07850271170065287,-0.08745931602512447,-0.06988489637091137
random,5,0.05,random,-0.08221195687335345,-0.09016262426510127,-0.07494566044756183
random,5,0.1,random,-0.06656505506904617,-0.07458842505238411,-0.05927638389242429
random,5,0.2,random,-0.07352417227641742,-0.08138533278567062,-0.06524929693079966
random,5,0.5,random,-0.0651809023309842,-0.0728291727217813,-0.05793528108630945
random,5,1.0,random,-0.05888818702533357,-0.06635501336236721,-0.04991273005812935
