run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
cunlo865,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_0_time_2026-03-31_16-15-48,BigFish,5,0.05,reward,0,243.0,1.0,0.00411522633744856
oc86xg78,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_1_time_2026-03-31_16-16-27,BigFish,5,0.05,reward,1,48.0,0.0,0.0
c0kiblr4,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_2_time_2026-03-31_16-16-41,BigFish,5,0.05,reward,2,57.0,0.0,0.0
f4lnnc6w,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_3_time_2026-04-02_19-34-33,BigFish,5,0.05,reward,3,86.0,0.0,0.0
itxm3zgf,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_4_time_2026-04-02_19-34-46,BigFish,5,0.05,reward,4,218.0,0.0,0.0
zjf5hfuq,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_5_time_2026-04-02_19-35-14,BigFish,5,0.05,reward,5,110.0,3.0,0.02727272727272727
6bm0j8il,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_6_time_2026-04-02_19-35-36,BigFish,5,0.05,reward,6,362.0,1.0,0.0027624309392265192
lmb33qyb,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_7_time_2026-04-02_19-36-08,BigFish,5,0.05,reward,7,175.0,0.0,0.0
t5xqourk,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_8_time_2026-04-02_19-36-33,BigFish,5,0.05,reward,8,72.0,0.0,0.0
ebfehnpz,BigFish_5_roll_0_inner_0.05_pct_1_max_reward_seed_9_time_2026-04-02_19-36-48,BigFish,5,0.05,reward,9,136.0,1.0,0.007352941176470588
8t75t82f,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_0_time_2026-03-31_16-14-40,BigFish,5,0.05,value,0,339.0,2.0,0.0058997050147492625
aojftr13,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_1_time_2026-03-31_16-15-24,BigFish,5,0.05,value,1,48.0,0.0,0.0
3swc0m8c,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_2_time_2026-03-31_16-15-36,BigFish,5,0.05,value,2,59.0,0.0,0.0
l4v015xk,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_3_time_2026-04-02_19-32-18,BigFish,5,0.05,value,3,85.0,0.0,0.0
krlkdhzt,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_4_time_2026-04-02_19-32-31,BigFish,5,0.05,value,4,117.0,1.0,0.008547008547008548
uic5arxz,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_5_time_2026-04-02_19-32-49,BigFish,5,0.05,value,5,117.0,3.0,0.02564102564102564
8bs3ve1y,BigFish_5_roll_0_inner_0.05_pct_1_max_value_seed_6_time_2026-04-02_19-33-06,BigFish,5,0.05,value,6,361.0,1.0,0.002770083102493075
