run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
li07x0w8,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_0_time_2026-04-09_19-20-42,BigFish,5,0.05,random,0,249.0,1.0,0.004016064257028112
uy6vba4j,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_1_time_2026-04-09_19-20-57,BigFish,5,0.05,random,1,47.0,0.0,0.0
skjuu00j,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_2_time_2026-04-09_19-21-08,BigFish,5,0.05,random,2,57.0,0.0,0.0
tykemej5,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_3_time_2026-04-09_19-21-19,BigFish,5,0.05,random,3,85.0,0.0,0.0
nsqu9y27,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_4_time_2026-04-09_19-21-30,BigFish,5,0.05,random,4,119.0,1.0,0.008403361344537815
x1fg7hka,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_5_time_2026-04-09_19-21-42,BigFish,5,0.05,random,5,114.0,3.0,0.02631578947368421
tqk0sg9d,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_6_time_2026-04-09_19-21-54,BigFish,5,0.05,random,6,238.0,1.0,0.004201680672268907
1qw5irks,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_7_time_2026-04-09_19-22-08,BigFish,5,0.05,random,7,67.0,0.0,0.0
gq67md31,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_8_time_2026-04-09_19-22-20,BigFish,5,0.05,random,8,70.0,0.0,0.0
69i9qaje,BigFish_5_roll_0_inner_0.05_pct_1_max_random_seed_9_time_2026-04-09_19-22-31,BigFish,5,0.05,random,9,142.0,2.0,0.014084507042253521
4tiz7vel,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_0_time_2026-04-09_19-22-44,BigFish,5,0.1,random,0,247.0,1.0,0.004048582995951417
a6ff88gz,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_1_time_2026-04-09_19-22-59,BigFish,5,0.1,random,1,47.0,0.0,0.0
nxqw1kyr,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_2_time_2026-04-09_19-23-10,BigFish,5,0.1,random,2,61.0,0.0,0.0
9srpeyk3,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_3_time_2026-04-09_19-23-20,BigFish,5,0.1,random,3,87.0,0.0,0.0
hcsdmyl2,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_4_time_2026-04-09_19-23-32,BigFish,5,0.1,random,4,236.0,0.0,0.0
l9k47uny,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_5_time_2026-04-09_19-23-47,BigFish,5,0.1,random,5,112.0,3.0,0.026785714285714284
zz5szpgd,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_6_time_2026-04-09_19-23-59,BigFish,5,0.1,random,6,239.0,1.0,0.0041841004184100415
c7i5pv7m,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_7_time_2026-04-09_19-24-14,BigFish,5,0.1,random,7,65.0,0.0,0.0
pkvjnf16,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_8_time_2026-04-09_19-24-25,BigFish,5,0.1,random,8,72.0,0.0,0.0
f0xq9bo8,BigFish_5_roll_0_inner_0.1_pct_1_max_random_seed_9_time_2026-04-09_19-24-36,BigFish,5,0.1,random,9,87.0,1.0,0.011494252873563218
hyp2sn4y,BigFish_5_roll_0_inner_0.2_pct_1_max_random_seed_0_time_2026-04-09_19-24-47,BigFish,5,0.2,random,0,249.0,1.0,0.004016064257028112
skw0nyyn,BigFish_5_roll_0_inner_0.2_pct_1_max_random_seed_1_time_2026-04-09_19-25-03,BigFish,5,0.2,random,1,49.0,0.0,0.0
gwsvo40f,BigFish_5_roll_0_inner_0.2_pct_1_max_random_seed_2_time_2026-04-09_19-25-13,BigFish,5,0.2,random,2,52.0,0.0,0.0
