mode,planning_steps,threshold,inner_steps,reward_mean,reward_std,ep_length_mean,ep_length_std,num_planning_steps_mean,num_planning_steps_std,meta_depth_1_mean,meta_depth_2_mean,meta_depth_3_mean,meta_depth_4_mean,meta_depth_1_std,meta_depth_2_std,meta_depth_3_std,meta_depth_4_std
reward,0,2.0,0,87.0,5.656854249492381,1517.0,140.50148279170105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,0,2.0,1,,,,,,,,,,,,,,
reward,0,2.0,2,,,,,,,,,,,,,,
reward,0,2.0,5,,,,,,,,,,,,,,
reward,0,1.5,0,,,,,,,,,,,,,,
reward,0,1.5,1,,,,,,,,,,,,,,
reward,0,1.5,2,,,,,,,,,,,,,,
reward,0,1.5,5,,,,,,,,,,,,,,
reward,0,1.0,0,,,,,,,,,,,,,,
reward,0,1.0,1,,,,,,,,,,,,,,
reward,0,1.0,2,,,,,,,,,,,,,,
reward,0,1.0,5,,,,,,,,,,,,,,
reward,1,2.0,0,87.33333333333333,7.3181661333667165,1482.0,66.54822812567339,5.666666666666667,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,2.0,1,88.0,8.831760866327848,1416.6666666666667,146.10574557110644,7.666666666666667,3.2998316455372216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,2.0,2,88.66666666666667,8.498365855987975,1416.0,145.9406271970443,7.666666666666667,3.2998316455372216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,2.0,5,88.0,8.831760866327848,1417.3333333333333,145.7516914329146,7.666666666666667,3.2998316455372216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,1.5,0,92.66666666666667,2.6246692913372702,1439.0,111.10655546216283,52.333333333333336,3.091206165165235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,1.5,1,90.0,5.887840577551898,1395.6666666666667,82.22867842520367,45.333333333333336,0.9428090415820634,0.3333333333333333,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
reward,1,1.5,2,90.66666666666667,5.557777333511022,1384.6666666666667,78.38508928503062,44.333333333333336,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,1.5,5,91.0,5.0990195135927845,1387.0,79.61155694998057,44.333333333333336,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,1.0,0,81.66666666666667,6.342099196813483,1716.0,32.69046751985457,259.0,7.118052168020874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,1,1.0,1,87.0,1.632993161855452,1677.6666666666667,77.98005442989181,233.33333333333334,11.897712198383164,1.6666666666666667,0.0,0.0,0.0,0.9428090415820634,0.0,0.0,0.0
reward,1,1.0,2,87.33333333333333,2.494438257849294,1676.3333333333333,76.46059260967196,233.33333333333334,11.897712198383164,1.6666666666666667,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
reward,1,1.0,5,87.33333333333333,2.494438257849294,1677.0,80.00416655816538,233.33333333333334,11.897712198383164,0.6666666666666666,0.0,0.0,0.0,0.4714045207910317,0.0,0.0,0.0
reward,2,2.0,0,87.66666666666667,5.436502143433363,1512.0,88.05679985100527,6.333333333333333,2.357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,2.0,1,89.0,3.265986323710904,1471.0,11.775681155103795,8.333333333333334,2.0548046676563256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,2.0,2,88.66666666666667,3.681787005729087,1471.6666666666667,11.728408057172787,8.333333333333334,2.0548046676563256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,2.0,5,89.0,4.08248290463863,1470.3333333333333,13.02134998974974,8.333333333333334,2.0548046676563256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reward,2,1.5,0,88.0,3.265986323710904,1534.6666666666667,63.71464161050861,55.666666666666664,6.649979114420002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
