env_type,mode,n_runs,reward_mean,reward_std,ep_length_mean,ep_length_std,num_planning_steps_mean,num_planning_steps_std,meta_depth_1_mean,meta_depth_1_std,meta_depth_2_mean,meta_depth_2_std,meta_depth_3_mean,meta_depth_3_std,meta_depth_4_mean,meta_depth_4_std
Alien,reward,3,1166.6666666666667,233.2857094256359,863.0,39.06404996924922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amidar,reward,3,229.33333333333334,12.657891697365018,844.0,100.46226488919442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assault,reward,3,731.0,51.27052434554055,841.3333333333334,60.035174874586836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asterix,reward,3,6033.333333333333,1463.6332266733432,1359.6666666666667,197.34966148663364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BankHeist,reward,3,6.666666666666667,4.714045207910317,538.3333333333334,112.72483705416872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BattleZone,reward,3,333.3333333333333,471.4045207910317,1060.6666666666667,133.6097135524044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakout,reward,3,93.33333333333333,22.365648262955002,1467.0,198.0353503796734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChopperCommand,reward,3,1133.3333333333333,94.28090415820634,950.0,123.25853587750694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrazyClimber,reward,3,104233.33333333333,6832.438965861475,3683.0,94.20544924083036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DemonAttack,reward,3,738.3333333333334,353.46695586559275,1804.3333333333333,280.0777669783083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freeway,reward,3,32.0,0.816496580927726,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frostbite,reward,3,273.3333333333333,4.714045207910317,700.6666666666666,33.46972097616325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gopher,reward,3,5360.0,572.2470329033316,2273.3333333333335,187.85337071473828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hero,reward,3,3165.0,0.0,824.0,531.7543292411136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamesbond,reward,3,366.6666666666667,94.28090415820634,1396.3333333333333,187.86046831506505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kangaroo,reward,3,6933.333333333333,1761.3126418163874,2438.0,558.8863927490094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krull,reward,3,10510.0,629.7618597533515,1400.6666666666667,60.59886320899281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KungFuMaster,reward,3,36333.333333333336,4067.2130780452385,2793.3333333333335,160.25465845196373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MsPacman,reward,3,1960.0,214.6314670934033,1010.0,93.85094565320053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pong,reward,3,21.0,0.0,1780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrivateEye,reward,3,100.0,0.0,2692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qbert,reward,3,4433.333333333333,31.18047822311618,692.3333333333334,51.03158063613376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoadRunner,reward,3,21100.0,3216.6234884839514,1277.6666666666667,88.43955877069692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seaquest,reward,3,1440.0,43.20493798938573,2229.0,43.840620433565945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UpNDown,reward,3,4750.0,978.2978414913664,1153.0,239.73457545099052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
