env_type,mode,n_runs,reward_mean,reward_std,ep_length_mean,ep_length_std,num_planning_steps_mean,num_planning_steps_std,meta_depth_1_mean,meta_depth_1_std,meta_depth_2_mean,meta_depth_2_std,meta_depth_3_mean,meta_depth_3_std,meta_depth_4_mean,meta_depth_4_std
Alien,reward,3,776.6666666666666,32.99831645537222,765.0,53.59726361174297,39.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alien,value,3,920.0,344.0930106817051,884.3333333333334,220.462140866761,43.666666666666664,8.339997335464536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amidar,reward,3,224.0,19.6468827043885,878.0,61.97311244940556,37.0,3.7416573867739413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amidar,value,3,190.66666666666666,47.84930047091134,776.6666666666666,40.92540639857946,32.333333333333336,6.79869268479038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assault,reward,3,727.3333333333334,170.82609740773086,887.6666666666666,198.1335127859214,41.0,12.027745701779143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assault,value,3,1080.3333333333333,245.18065901607238,1197.3333333333333,314.3165424995778,63.0,15.937377450509228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asterix,reward,3,4516.666666666667,2805.4510431578656,1066.6666666666667,538.0764092786658,50.666666666666664,29.39765674713245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Asterix,value,3,5800.0,2004.9937655763422,1458.6666666666667,373.82735171317904,73.66666666666667,26.386023236217735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BankHeist,reward,3,3.3333333333333335,4.714045207910316,551.0,53.241587754937086,24.333333333333332,2.494438257849294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BankHeist,value,3,3.3333333333333335,4.714045207910316,551.0,53.241587754937086,24.333333333333332,2.494438257849294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BattleZone,reward,3,2333.3333333333335,1885.6180831641268,871.0,122.93358640610249,36.0,6.377042156569663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BattleZone,value,3,1333.3333333333333,471.4045207910317,870.6666666666666,74.12302086546542,39.333333333333336,4.4969125210773475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakout,reward,3,55.333333333333336,19.770910168449223,1160.6666666666667,203.94825051686246,53.333333333333336,12.81492185782739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breakout,value,3,89.66666666666667,10.624918300339486,1441.6666666666667,131.52017166790637,68.66666666666667,4.9216076867444665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChopperCommand,reward,3,1400.0,216.02468994692867,2302.0,1616.7475581137169,104.33333333333333,72.29722601102264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ChopperCommand,value,3,1566.6666666666667,623.6095644623235,2424.3333333333335,1994.166882574163,122.66666666666667,109.30182472808443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrazyClimber,reward,3,79533.33333333333,20675.965649893005,3393.0,311.1269837220809,153.66666666666666,9.843215373488933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CrazyClimber,value,3,87000.0,34635.33840843289,3451.3333333333335,914.1266627527914,171.0,46.180804092898455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DemonAttack,reward,2,205.0,135.0,14642.0,12312.0,715.5,591.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DemonAttack,value,3,658.3333333333334,599.4210169451482,3767.0,2524.9700988328555,190.66666666666666,130.62499335459844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freeway,reward,2,30.0,1.0,2045.0,0.0,101.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freeway,value,2,31.5,0.5,2045.0,0.0,105.5,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frostbite,reward,3,250.0,28.284271247461902,653.0,131.78011989674314,25.666666666666668,4.988876515698588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frostbite,value,3,260.0,14.142135623730951,688.3333333333334,41.12041936664665,30.666666666666668,5.436502143433363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gopher,reward,3,3873.3333333333335,1238.744884505639,1972.3333333333333,362.1061845493514,98.66666666666667,19.430788855719562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gopher,value,3,5340.0,2481.9884501477172,2132.0,681.8157131268439,103.66666666666667,42.59368758656876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hero,reward,3,3131.6666666666665,23.570226039551585,475.0,10.614455552060438,21.0,1.632993161855452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hero,value,3,3165.0,0.0,461.0,7.874007874011811,21.666666666666668,1.699673171197595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamesbond,reward,3,400.0,70.71067811865476,1551.6666666666667,253.27499328244434,72.0,6.48074069840786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamesbond,value,3,500.0,108.01234497346434,1562.6666666666667,278.1897833414368,77.66666666666667,15.627610892974724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kangaroo,reward,3,3400.0,282.842712474619,1484.0,24.041630560342615,66.66666666666667,2.357022603955158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kangaroo,value,3,6133.333333333333,1388.8444437333105,2291.0,449.27126178586883,101.66666666666667,26.911377189252548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krull,reward,3,9603.333333333334,1445.1374405994131,1318.0,144.12032010326186,58.333333333333336,8.65383665716478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Krull,value,3,8853.333333333334,2375.7150970228354,1255.6666666666667,250.13640723057932,66.33333333333333,6.236095644623236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KungFuMaster,reward,3,31400.0,5093.787065304818,2718.3333333333335,431.4319825367094,140.0,28.296053906272277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KungFuMaster,value,3,43700.0,7995.415352979898,3392.3333333333335,447.23620406025077,168.33333333333334,19.737161790783283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MsPacman,reward,3,906.6666666666666,360.5859429071275,580.0,74.95776588630872,23.0,6.683312551921141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MsPacman,value,3,1523.3333333333333,436.5266951236265,797.0,41.40853374205209,37.333333333333336,9.672412085697939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pong,reward,3,13.666666666666666,0.9428090415820634,2169.0,108.83320571712783,108.66666666666667,11.025223605694151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pong,value,3,18.666666666666668,1.699673171197595,1944.0,133.49906366712838,100.0,6.683312551921141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrivateEye,reward,3,100.0,0.0,2692.0,0.0,127.66666666666667,10.402991022884823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrivateEye,value,3,100.0,0.0,2692.0,0.0,124.66666666666667,1.247219128924647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qbert,reward,3,4275.0,176.7766952966369,702.6666666666666,33.6386021641143,34.0,2.160246899469287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qbert,value,3,4433.333333333333,11.785113019775793,712.0,56.92685365156471,31.0,4.546060565661952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoadRunner,reward,3,17866.666666666668,895.6685895029602,1145.0,131.6080038092922,52.666666666666664,6.79869268479038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RoadRunner,value,3,19166.666666666668,5490.19327731021,1245.3333333333333,108.22610077466938,57.333333333333336,3.6817870057290873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seaquest,reward,3,1453.3333333333333,106.24918300339486,2220.3333333333335,56.09713797413277,110.0,11.430952132988164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seaquest,value,3,1380.0,43.20493798938573,2209.3333333333335,38.42163742245016,101.33333333333333,5.792715732327588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UpNDown,reward,3,3003.3333333333335,648.9136220552693,976.3333333333334,138.71393425159405,47.333333333333336,9.672412085697939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UpNDown,value,3,5896.666666666667,758.785579433054,1557.3333333333333,311.13805438886595,72.0,20.51016008388688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
