run_id,run_name,env_type,planning_steps,planning_percentage,planning_mode,seed,episode_length,final_reward,reward_per_step
0qdbhk83,CoinRun_5_roll_5_inner_0.05_pct_2_max_reward_seed_0_time_2026-08-05_13-20-10,CoinRun,5,0.05,reward,0,21.0,10.0,0.47619047619047616
p7hmtf44,CoinRun_5_roll_5_inner_0.05_pct_2_max_reward_seed_1_time_2026-08-05_13-20-25,CoinRun,5,0.05,reward,1,43.0,10.0,0.23255813953488372
zcopbwc8,CoinRun_5_roll_5_inner_0.05_pct_2_max_reward_seed_2_time_2026-08-05_13-20-44,CoinRun,5,0.05,reward,2,1000.0,0.0,0.0
602ky2zo,CoinRun_5_roll_5_inner_0.05_pct_2_max_value_seed_0_time_2026-08-05_13-18-43,CoinRun,5,0.05,value,0,21.0,10.0,0.47619047619047616
qrl43754,CoinRun_5_roll_5_inner_0.05_pct_2_max_value_seed_1_time_2026-08-05_13-18-58,CoinRun,5,0.05,value,1,42.0,10.0,0.23809523809523808
2a5n7z21,CoinRun_5_roll_5_inner_0.05_pct_2_max_value_seed_2_time_2026-08-05_13-19-17,CoinRun,5,0.05,value,2,566.0,10.0,0.0176678445229682
ayv9y5zn,CoinRun_5_roll_5_inner_0.1_pct_2_max_reward_seed_0_time_2026-08-05_13-25-38,CoinRun,5,0.1,reward,0,21.0,10.0,0.47619047619047616
wql8u2fd,CoinRun_5_roll_5_inner_0.1_pct_2_max_reward_seed_1_time_2026-08-05_13-25-58,CoinRun,5,0.1,reward,1,43.0,10.0,0.23255813953488372
d6dtc8tr,CoinRun_5_roll_5_inner_0.1_pct_2_max_reward_seed_2_time_2026-08-05_13-26-19,CoinRun,5,0.1,reward,2,1000.0,0.0,0.0
cbu5re2b,CoinRun_5_roll_5_inner_0.1_pct_2_max_value_seed_0_time_2026-08-05_13-22-08,CoinRun,5,0.1,value,0,21.0,10.0,0.47619047619047616
do0c0tuv,CoinRun_5_roll_5_inner_0.1_pct_2_max_value_seed_1_time_2026-08-05_13-22-29,CoinRun,5,0.1,value,1,42.0,10.0,0.23809523809523808
qwoasqb3,CoinRun_5_roll_5_inner_0.1_pct_2_max_value_seed_2_time_2026-08-05_13-22-48,CoinRun,5,0.1,value,2,1000.0,0.0,0.0
t6qgriq7,CoinRun_5_roll_5_inner_0.2_pct_2_max_reward_seed_0_time_2026-08-05_13-34-05,CoinRun,5,0.2,reward,0,21.0,10.0,0.47619047619047616
lgem9meg,CoinRun_5_roll_5_inner_0.2_pct_2_max_reward_seed_1_time_2026-08-05_13-34-26,CoinRun,5,0.2,reward,1,43.0,10.0,0.23255813953488372
n8g7pabk,CoinRun_5_roll_5_inner_0.2_pct_2_max_reward_seed_2_time_2026-08-05_13-34-51,CoinRun,5,0.2,reward,2,1000.0,0.0,0.0
zdunmvli,CoinRun_5_roll_5_inner_0.2_pct_2_max_value_seed_0_time_2026-08-05_13-29-11,CoinRun,5,0.2,value,0,21.0,10.0,0.47619047619047616
z6m4z7up,CoinRun_5_roll_5_inner_0.2_pct_2_max_value_seed_1_time_2026-08-05_13-29-32,CoinRun,5,0.2,value,1,43.0,10.0,0.23255813953488372
jb4boo27,CoinRun_5_roll_5_inner_0.2_pct_2_max_value_seed_2_time_2026-08-05_13-29-57,CoinRun,5,0.2,value,2,740.0,0.0,0.0
lf6z89ze,CoinRun_5_roll_5_inner_0.5_pct_2_max_reward_seed_0_time_2026-08-05_13-43-43,CoinRun,5,0.5,reward,0,21.0,10.0,0.47619047619047616
noa55ejr,CoinRun_5_roll_5_inner_0.5_pct_2_max_reward_seed_1_time_2026-08-05_13-44-06,CoinRun,5,0.5,reward,1,43.0,10.0,0.23255813953488372
eiwgpsow,CoinRun_5_roll_5_inner_0.5_pct_2_max_reward_seed_2_time_2026-08-05_13-44-49,CoinRun,5,0.5,reward,2,1000.0,0.0,0.0
5tpokt8o,CoinRun_5_roll_5_inner_0.5_pct_2_max_value_seed_0_time_2026-08-05_13-40-36,CoinRun,5,0.5,value,0,21.0,10.0,0.47619047619047616
cqpxcwx2,CoinRun_5_roll_5_inner_0.5_pct_2_max_value_seed_1_time_2026-08-05_13-41-06,CoinRun,5,0.5,value,1,43.0,10.0,0.23255813953488372
lnyd3gw3,CoinRun_5_roll_5_inner_0.5_pct_2_max_value_seed_2_time_2026-08-05_13-41-47,CoinRun,5,0.5,value,2,115.0,10.0,0.08695652173913043
owdaefjo,CoinRun_10_roll_5_inner_0.05_pct_2_max_reward_seed_0_time_2026-08-05_14-01-10,CoinRun,10,0.05,reward,0,21.0,10.0,0.47619047619047616
88d08msh,CoinRun_10_roll_5_inner_0.05_pct_2_max_reward_seed_1_time_2026-08-05_14-01-27,CoinRun,10,0.05,reward,1,43.0,10.0,0.23255813953488372
v7rsmpmh,CoinRun_10_roll_5_inner_0.05_pct_2_max_reward_seed_2_time_2026-08-05_14-01-52,CoinRun,10,0.05,reward,2,1000.0,0.0,0.0
fv2zcd52,CoinRun_10_roll_5_inner_0.05_pct_2_max_value_seed_0_time_2026-08-05_13-58-14,CoinRun,10,0.05,value,0,21.0,10.0,0.47619047619047616
9lssmj2m,CoinRun_10_roll_5_inner_0.05_pct_2_max_value_seed_1_time_2026-08-05_13-58-30,CoinRun,10,0.05,value,1,43.0,10.0,0.23255813953488372
zwmpuslz,CoinRun_10_roll_5_inner_0.05_pct_2_max_value_seed_2_time_2026-08-05_13-58-57,CoinRun,10,0.05,value,2,929.0,10.0,0.010764262648008612
