env_type,planning_steps,planning_percentage,planning_mode,n_seeds_all,seeds_all,reward_mean_all,reward_std_all,episode_length_mean_all,episode_length_std_all,n_seeds_ratio,seeds_ratio,reward_per_step_mean,reward_per_step_std
BigFish,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.8,0.9797958971132713,118.8,68.48620299009136,10,"0,1,2,3,4,5,6,7,8,9",0.005702140278977257,0.008186265638924618
BigFish,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.9165151389911681,125.3,77.36026111641557,10,"0,1,2,3,4,5,6,7,8,9",0.004651265057363896,0.00816790911534425
BigFish,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.6,0.9165151389911681,121.8,65.89810315934746,10,"0,1,2,3,4,5,6,7,8,9",0.005023712148725966,0.008343469756021024
BigFish,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.2,0.4000000000000001,118.8,89.08512782726419,10,"0,1,2,3,4,5,6,7,8,9",0.0019569288389513105,0.003967309235007312
BossFight,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,50.1,36.519720699917734,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,42.1,26.37593600234881,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,47.7,33.16338342208165,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
BossFight,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,77.7,133.955253723025,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0,822.4,358.060385968624,10,"0,1,2,3,4,5,6,7,8,9",0.0,0.0
CaveFlyer,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,736.2,408.30498404991334,10,"0,1,2,3,4,5,6,7,8,9",0.0034722222222222225,0.010416666666666668
CaveFlyer,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",2.0,4.0,771.8,361.0032686832627,10,"0,1,2,3,4,5,6,7,8,9",0.005892059470631376,0.012073504244027252
CaveFlyer,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",1.0,3.0,663.2,417.965022460014,10,"0,1,2,3,4,5,6,7,8,9",0.003215434083601286,0.009646302250803858
Chaser,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",0.3959999784827232,0.2223151013884676,96.6,25.393700006103874,10,"0,1,2,3,4,5,6,7,8,9",0.0039871756031527,0.0018046791706783972
Chaser,5,0.1,random,10,"0,1,2,3,4,5,6,7,8,9",0.4079999789595604,0.22613272111910845,96.3,25.04416099612842,10,"0,1,2,3,4,5,6,7,8,9",0.00409968272227644,0.0017961830819729144
Chaser,5,0.2,random,10,"0,1,2,3,4,5,6,7,8,9",0.4159999810159206,0.22428555070172654,96.6,25.393700006103874,10,"0,1,2,3,4,5,6,7,8,9",0.004180481597243603,0.0017466316607702844
Chaser,5,0.5,random,10,"0,1,2,3,4,5,6,7,8,9",0.47599999234080315,0.23423068319336643,118.3,42.17594100906345,10,"0,1,2,3,4,5,6,7,8,9",0.003890250403114233,0.0012723219100756016
Climber,5,0.05,random,10,"0,1,2,3,4,5,6,7,8,9",1.2,3.2802438933713454,854.2,293.09002030093075,10,"0,1,2,3,4,5,6,7,8,9",0.0033640949554896147,0.009763504694267157
