mode,planning_steps,threshold,inner_steps,mean,std
reward,0,2.0,0,87.33333333333333,5.90668171555645
reward,0,2.0,1,,
reward,0,2.0,2,,
reward,0,2.0,5,,
reward,0,1.5,0,,
reward,0,1.5,1,,
reward,0,1.5,2,,
reward,0,1.5,5,,
reward,0,1.0,0,,
reward,0,1.0,1,,
reward,0,1.0,2,,
reward,0,1.0,5,,
reward,1,2.0,0,87.0,7.788880963698615
reward,1,2.0,1,87.0,7.788880963698615
reward,1,2.0,2,86.66666666666667,7.542472332656507
reward,1,2.0,5,86.66666666666667,7.542472332656507
reward,1,1.5,0,92.0,2.160246899469287
reward,1,1.5,1,93.0,2.160246899469287
reward,1,1.5,2,93.0,2.8284271247461903
reward,1,1.5,5,92.33333333333333,2.357022603955158
reward,1,1.0,0,81.33333333333333,6.236095644623236
reward,1,1.0,1,82.0,6.48074069840786
reward,1,1.0,2,82.33333333333333,6.79869268479038
reward,1,1.0,5,82.33333333333333,6.79869268479038
reward,2,2.0,0,87.33333333333333,5.185449728701348
reward,2,2.0,1,87.66666666666667,5.436502143433363
reward,2,2.0,2,87.66666666666667,5.436502143433363
reward,2,2.0,5,87.66666666666667,5.436502143433363
reward,2,1.5,0,87.33333333333333,3.2998316455372216
reward,2,1.5,1,87.66666666666667,3.681787005729087
reward,2,1.5,2,87.66666666666667,2.8674417556808756
reward,2,1.5,5,87.66666666666667,3.39934634239519
reward,2,1.0,0,85.66666666666667,5.185449728701348
reward,2,1.0,1,85.66666666666667,4.496912521077347
reward,2,1.0,2,85.33333333333333,4.714045207910316
reward,2,1.0,5,85.66666666666667,4.496912521077347
reward,5,2.0,0,90.66666666666667,3.2998316455372216
reward,5,2.0,1,90.66666666666667,2.494438257849294
reward,5,2.0,2,90.66666666666667,2.494438257849294
reward,5,2.0,5,90.66666666666667,3.2998316455372216
reward,5,1.5,0,95.33333333333333,2.357022603955158
reward,5,1.5,1,95.33333333333333,2.357022603955158
reward,5,1.5,2,95.66666666666667,2.6246692913372702
reward,5,1.5,5,95.33333333333333,2.357022603955158
reward,5,1.0,0,75.66666666666667,10.077477638553983
reward,5,1.0,1,75.33333333333333,9.977753031397176
reward,5,1.0,2,75.33333333333333,9.977753031397176
reward,5,1.0,5,75.33333333333333,9.741092797468305
reward,10,2.0,0,89.66666666666667,4.109609335312651
reward,10,2.0,1,89.0,4.546060565661952
reward,10,2.0,2,89.66666666666667,4.109609335312651
reward,10,2.0,5,89.66666666666667,4.9216076867444665
reward,10,1.5,0,91.66666666666667,3.2998316455372216
reward,10,1.5,1,91.66666666666667,2.494438257849294
reward,10,1.5,2,91.66666666666667,2.8674417556808756
reward,10,1.5,5,92.0,3.265986323710904
reward,10,1.0,0,79.66666666666667,5.185449728701348
reward,10,1.0,1,79.33333333333333,4.714045207910316
reward,10,1.0,2,79.33333333333333,4.714045207910316
reward,10,1.0,5,79.33333333333333,4.714045207910316
reward,15,2.0,0,89.66666666666667,3.858612300930075
reward,15,2.0,1,89.33333333333333,4.0276819911981905
reward,15,2.0,2,89.66666666666667,3.858612300930075
reward,15,2.0,5,89.33333333333333,4.189935029992178
